"_col0","escolaridade","salario_anual"
"29","graduacao","$120K +"
"239","mestrado","menos que $40K"
"162","mestrado","$80K - $120K"
"57","sem educacao formal","$60K - $80K"
"142","mestrado","$40K - $60K"
"43","doutorado","$80K - $120K"
"43","graduacao","$40K - $60K"
"64","sem educacao formal","$80K - $120K"
"44","graduacao","$60K - $80K"
"110","sem educacao formal","menos que $40K"
"62","doutorado","menos que $40K"
"58","graduacao","$80K - $120K"
"135","mestrado","$60K - $80K"
"107","ensino medio","$40K - $60K"
"69","graduacao","menos que $40K"
"62","mestrado","$120K +"
"71","sem educacao formal","$40K - $60K"
"108","ensino medio","$60K - $80K"
"133","ensino medio","menos que $40K"
"29","sem educacao formal","$120K +"
"45","doutorado","$60K - $80K"
"40","doutorado","$40K - $60K"
"98","ensino medio","$80K - $120K"
"18","doutorado","$120K +"
"49","ensino medio","$120K +"
